これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
ないもんなら、廃したらよかろう	それでまず実験上差し支えないくらいな球を作って見ようと思いましてね。せんだってからやり始めたのです
出来たかい	出来るものですか
どこでそんなに磨っているんだい	やっぱり学校の実験室です、朝磨り始めて、昼飯のときちょっと休んでそれから暗くなるまで磨るんですが、なかなか楽じゃありません
それじゃ君が近頃忙がしい忙がしいと云って毎日日曜でも学校へ行くのはその珠を磨りに行くんだね	全く目下のところは朝から晩まで珠ばかり磨っています
君そう毎日毎日珠ばかり磨ってるのもよかろうが、元来いつ頃出来上るつもりかね	まあこの容子じゃ十年くらいかかりそうです
十年じゃ――もう少し早く磨り上げたらよかろう	十年じゃ早い方です、事によると廿年くらいかかります
そいつは大変だ、それじゃ容易に博士にゃなれないじゃないか	ええ一日も早くなって安心さしてやりたいのですがとにかく珠を磨り上げなくっちゃ肝心の実験が出来ませんから……
先月大磯へ行ったものに両三日前東京で逢うなどは神秘的でいい。いわゆる霊の交換だね。相思の情の切な時にはよくそう云う現象が起るものだ。ちょっと聞くと夢のようだが、夢にしても現実よりたしかな夢だ。奥さんのように別に思いも思われもしない苦沙弥君の所へ片付いて生涯恋の何物たるを御解しにならん方には、御不審ももっともだが……	あら何を証拠にそんな事をおっしゃるの。随分軽蔑なさるのね
君だって恋煩いなんかした事はなさそうじゃないか	そりゃ僕の艶聞などは、いくら有ってもみんな七十五日以上経過しているから、君方の記憶には残っていないかも知れないが――実はこれでも失恋の結果、この歳になるまで独身で暮らしているんだよ
ホホホホ面白い事	馬鹿にしていらあ
どうかその懐旧談を後学のために伺いたいもので	僕のも大分神秘的で、故小泉八雲先生に話したら非常に受けるのだが、惜しい事に先生は永眠されたから、実のところ話す張合もないんだが、せっかくだから打ち開けるよ。その代りしまいまで謹聴しなくっちゃいけないよ
回顧すると今を去る事――ええと――何年前だったかな――面倒だからほぼ十五六年前としておこう	冗談じゃない
あいづりょう	あいずりょう
妙なところだな	だまって聴いていらっしゃいよ。面白いから
ところが日は暮れる、路は分らず、腹は減る、仕方がないから峠の真中にある一軒屋を敲いて、これこれかようかようしかじかの次第だから、どうか留めてくれと云うと、御安い御用です、さあ御上がんなさいと裸蝋燭を僕の顔に差しつけた娘の顔を見て僕はぶるぶると悸えたがね。僕はその時から恋と云う曲者の魔力を切実に自覚したね	おやいやだ。そんな山の中にも美しい人があるんでしょうか
山だって海だって、奥さん、その娘を一目あなたに見せたいと思うくらいですよ、文金の高島田に髪を結いましてね	へえー
這入って見ると八畳の真中に大きな囲炉裏が切ってあって、その周りに娘と娘の爺さんと婆さんと僕と四人坐ったんですがね。さぞ御腹が御減りでしょうと云いますから、何でも善いから早く食わせ給えと請求したんです。すると爺さんがせっかくの御客さまだから蛇飯でも炊いて上げようと云うんです。さあこれからがいよいよ失恋に取り掛るところだからしっかりして聴きたまえ	先生しっかりして聴く事は聴きますが、なんぼ越後の国だって冬、蛇がいやしますまい
うん、そりゃ一応もっともな質問だよ。しかしこんな詩的な話しになるとそう理窟にばかり拘泥してはいられないからね。鏡花の小説にゃ雪の中から蟹が出てくるじゃないか	なるほど
その時分の僕は随分悪もの食いの隊長で、蝗、なめくじ、赤蛙などは食い厭きていたくらいなところだから、蛇飯は乙だ。早速御馳走になろうと爺さんに返事をした。そこで爺さん囲炉裏の上へ鍋をかけて、その中へ米を入れてぐずぐず煮出したものだね。不思議な事にはその鍋の蓋を見ると大小十個ばかりの穴があいている。その穴から湯気がぷうぷう吹くから、旨い工夫をしたものだ、田舎にしては感心だと見ていると、爺さんふと立って、どこかへ出て行ったがしばらくすると、大きな笊を小脇に抱い込んで帰って来た。何気なくこれを囲炉裏の傍へ置いたから、その中を覗いて見ると――いたね。長い奴が、寒いもんだから御互にとぐろの捲きくらをやって塊まっていましたね	もうそんな御話しは廃しになさいよ。厭らしい
どうしてこれが失恋の大源因になるんだからなかなか廃せませんや。爺さんはやがて左手に鍋の蓋をとって、右手に例の塊まった長い奴を無雑作につかまえて、いきなり鍋の中へ放り込んで、すぐ上から蓋をしたが、さすがの僕もその時ばかりははっと息の穴が塞ったかと思ったよ	もう御やめになさいよ。気味の悪るい
もう少しで失恋になるからしばらく辛抱していらっしゃい。すると一分立つか立たないうちに蓋の穴から鎌首がひょいと一つ出ましたのには驚ろきましたよ。やあ出たなと思うと、隣の穴からもまたひょいと顔を出した。また出たよと云ううち、あちらからも出る。こちらからも出る。とうとう鍋中蛇の面だらけになってしまった	なんで、そんなに首を出すんだい
鍋の中が熱いから、苦しまぎれに這い出そうとするのさ。やがて爺さんは、もうよかろう、引っ張らっしとか何とか云うと、婆さんははあーと答える、娘はあいと挨拶をして、名々に蛇の頭を持ってぐいと引く。肉は鍋の中に残るが、骨だけは奇麗に離れて、頭を引くと共に長いのが面白いように抜け出してくる	蛇の骨抜きですね
全くの事骨抜だ、器用な事をやるじゃないか。それから蓋を取って、杓子でもって飯と肉を矢鱈に掻き交ぜて、さあ召し上がれと来た	食ったのかい
もう廃しになさいよ、胸が悪るくって御飯も何もたべられやしない	奥さんは蛇飯を召し上がらんから、そんな事をおっしゃるが、まあ一遍たべてご覧なさい、あの味ばかりは生涯忘れられませんぜ
おお、いやだ、誰が食べるもんですか	そこで充分御饌も頂戴し、寒さも忘れるし、娘の顔も遠慮なく見るし、もう思いおく事はないと考えていると、御休みなさいましと云うので、旅の労れもある事だから、仰に従って、ごろりと横になると、すまん訳だが前後を忘却して寝てしまった
それからどうなさいました	それから明朝になって眼を覚してからが失恋でさあ
どうかなさったんですか	いえ別にどうもしやしませんがね。朝起きて巻煙草をふかしながら裏の窓から見ていると、向うの筧の傍で、薬缶頭が顔を洗っているんでさあ
爺さんか婆さんか	それがさ、僕にも識別しにくかったから、しばらく拝見していて、その薬缶がこちらを向く段になって驚ろいたね。それが僕の初恋をした昨夜の娘なんだもの
だって娘は島田に結っているとさっき云ったじゃないか	前夜は島田さ、しかも見事な島田さ。ところが翌朝は丸薬缶さ
僕も不思議の極内心少々怖くなったから、なお余所ながら容子を窺っていると、薬缶はようやく顔を洗い了って、傍えの石の上に置いてあった高島田の鬘を無雑作に被って、すましてうちへ這入ったんでなるほどと思った。なるほどとは思ったようなもののその時から、とうとう失恋の果敢なき運命をかこつ身となってしまった	くだらない失恋もあったもんだ。ねえ、寒月君、それだから、失恋でも、こんなに陽気で元気がいいんだよ
しかしその娘が丸薬缶でなくってめでたく東京へでも連れて御帰りになったら、先生はなお元気かも知れませんよ、とにかくせっかくの娘が禿であったのは千秋の恨事ですねえ。それにしても、そんな若い女がどうして、毛が抜けてしまったんでしょう	僕もそれについてはだんだん考えたんだが全く蛇飯を食い過ぎたせいに相違ないと思う。蛇飯てえ奴はのぼせるからね
しかしあなたは、どこも何ともなくて結構でございましたね	僕は禿にはならずにすんだが、その代りにこの通りその時から近眼になりました
全体どこが神秘的なんだい	あの鬘はどこで買ったのか、拾ったのかどう考えても未だに分らないからそこが神秘さ
ええなるべく珠ばかり磨っていたいんですが、向うでそうさせないんだから弱り切ります	そうさ、君などは先方が騒ぎ立てるんだが、中には滑稽なのがあるよ。あの図書館へ小便をしに来た老梅君などになるとすこぶる奇だからね
どんな事をしたんだい	なあに、こう云う訳さ。先生その昔静岡の東西館へ泊った事があるのさ。――たった一と晩だぜ――それでその晩すぐにそこの下女に結婚を申し込んだのさ。僕も随分呑気だが、まだあれほどには進化しない。もっともその時分には、あの宿屋に御夏さんと云う有名な別嬪がいて老梅君の座敷へ出たのがちょうどその御夏さんなのだから無理はないがね
無理がないどころか君の何とか峠とまるで同じじゃないか	少し似ているね、実を云うと僕と老梅とはそんなに差異はないからな。とにかく、その御夏さんに結婚を申し込んで、まだ返事を聞かないうちに水瓜が食いたくなったんだがね
御夏さんを呼んで静岡に水瓜はあるまいかと聞くと、御夏さんが、なんぼ静岡だって水瓜くらいはありますよと、御盆に水瓜を山盛りにして持ってくる。そこで老梅君食ったそうだ。山盛りの水瓜をことごとく平らげて、御夏さんの返事を待っていると、返事の来ないうちに腹が痛み出してね、うーんうーんと唸ったが少しも利目がないからまた御夏さんを呼んで今度は静岡に医者はあるまいかと聞いたら、御夏さんがまた、なんぼ静岡だって医者くらいはありますよと云って、天地玄黄とかいう千字文を盗んだような名前のドクトルを連れて来た。翌朝になって、腹の痛みも御蔭でとれてありがたいと、出立する十五分前に御夏さんを呼んで、昨日申し込んだ結婚事件の諾否を尋ねると、御夏さんは笑いながら静岡には水瓜もあります、御医者もありますが一夜作りの御嫁はありませんよと出て行ったきり顔を見せなかったそうだ。それから老梅君も僕同様失恋になって、図書館へは小便をするほか来なくなったんだって、考えると女は罪な者だよ	本当にそうだ。せんだってミュッセの脚本を読んだらそのうちの人物が羅馬の詩人を引用してこんな事を云っていた。――羽より軽い者は塵である。塵より軽いものは風である。風より軽い者は女である。女より軽いものは無である。――よく穿ってるだろう。女なんか仕方がない
女の軽いのがいけないとおっしゃるけれども、男の重いんだって好い事はないでしょう	重いた、どんな事だ
重いと云うな重い事ですわ、あなたのようなのです	俺がなんで重い
昔は亭主に口返答なんかした女は、一人もなかったんだって云うが、それなら唖を女房にしていると同じ事で僕などは一向ありがたくない。やっぱり奥さんのようにあなたは重いじゃありませんかとか何とか云われて見たいね。同じ女房を持つくらいなら、たまには喧嘩の一つ二つしなくっちゃ退屈でしようがないからな。僕の母などと来たら、おやじの前へ出てはいとへいで持ち切っていたものだ。そうして二十年もいっしょになっているうちに寺参りよりほかに外へ出た事がないと云うんだから情けないじゃないか。もっとも御蔭で先祖代々の戒名はことごとく暗記している。男女間の交際だってそうさ、僕の小供の時分などは寒月君のように意中の人と合奏をしたり、霊の交換をやって朦朧体で出合って見たりする事はとうてい出来なかった	御気の毒様で
実に御気の毒さ。しかもその時分の女が必ずしも今の女より品行がいいと限らんからね。奥さん近頃は女学生が堕落したの何だのとやかましく云いますがね。なに昔はこれより烈しかったんですよ	そうでしょうか
そうですとも、出鱈目じゃない、ちゃんと証拠があるから仕方がありませんや。苦沙弥君、君も覚えているかも知れんが僕等の五六歳の時までは女の子を唐茄子のように籠へ入れて天秤棒で担いで売ってあるいたもんだ、ねえ君	僕はそんな事は覚えておらん
君の国じゃどうだか知らないが、静岡じゃたしかにそうだった	まさか
本当さ。現に僕のおやじが価を付けた事がある。その時僕は何でも六つくらいだったろう。おやじといっしょに油町から通町へ散歩に出ると、向うから大きな声をして女の子はよしかな、女の子はよしかなと怒鳴ってくる。僕等がちょうど二丁目の角へ来ると、伊勢源と云う呉服屋の前でその男に出っ食わした。伊勢源と云うのは間口が十間で蔵が五つ戸前あって静岡第一の呉服屋だ。今度行ったら見て来給え。今でも歴然と残っている。立派なうちだ。その番頭が甚兵衛と云ってね。いつでも御袋が三日前に亡くなりましたと云うような顔をして帳場の所へ控えている。甚兵衛君の隣りには初さんという二十四五の若い衆が坐っているが、この初さんがまた雲照律師に帰依して三七二十一日の間蕎麦湯だけで通したと云うような青い顔をしている。初さんの隣りが長どんでこれは昨日火事で焚き出されたかのごとく愁然と算盤に身を凭している。長どんと併んで……	君は呉服屋の話をするのか、人売りの話をするのか
そうそう人売りの話しをやっていたんだっけ。実はこの伊勢源についてもすこぶる奇譚があるんだが、それは割愛して今日は人売りだけにしておこう	人売りもついでにやめるがいい
仰せの通り方今の女生徒、令嬢などは自尊自信の念から骨も肉も皮まで出来ていて、何でも男子に負けないところが敬服の至りだ。僕の近所の女学校の生徒などと来たらえらいものだぜ。筒袖を穿いて鉄棒へぶら下がるから感心だ。僕は二階の窓から彼等の体操を目撃するたんびに古代希臘の婦人を追懐するよ	また希臘か
どうも美な感じのするものは大抵希臘から源を発しているから仕方がない。美学者と希臘とはとうてい離れられないやね。――ことにあの色の黒い女学生が一心不乱に体操をしているところを拝見すると、僕はいつでも Agnodice の逸話を思い出すのさ	またむずかしい名前が出て来ましたね
Agnodice はえらい女だよ、僕は実に感心したね。当時亜典の法律で女が産婆を営業する事を禁じてあった。不便な事さ。Agnodice だってその不便を感ずるだろうじゃないか	何だい、その――何とか云うのは
女さ、女の名前だよ。この女がつらつら考えるには、どうも女が産婆になれないのは情けない、不便極まる。どうかして産婆になりたいもんだ、産婆になる工夫はあるまいかと三日三晩手を拱いて考え込んだね。ちょうど三日目の暁方に、隣の家で赤ん坊がおぎゃあと泣いた声を聞いて、うんそうだと豁然大悟して、それから早速長い髪を切って男の着物をきて Hierophilus の講義をききに行った。首尾よく講義をきき終せて、もう大丈夫と云うところでもって、いよいよ産婆を開業した。ところが、奥さん流行りましたね。あちらでもおぎゃあと生れるこちらでもおぎゃあと生れる。それがみんな Agnodice の世話なんだから大変儲かった。ところが人間万事塞翁の馬、七転び八起き、弱り目に祟り目で、ついこの秘密が露見に及んでついに御上の御法度を破ったと云うところで、重き御仕置に仰せつけられそうになりました	まるで講釈見たようです事
なかなか旨いでしょう。ところが亜典の女連が一同連署して嘆願に及んだから、時の御奉行もそう木で鼻を括ったような挨拶も出来ず、ついに当人は無罪放免、これからはたとい女たりとも産婆営業勝手たるべき事と云う御布令さえ出てめでたく落着を告げました	よくいろいろな事を知っていらっしゃるのね、感心ねえ
ええ大概の事は知っていますよ。知らないのは自分の馬鹿な事くらいなものです。しかしそれも薄々は知ってます	ホホホホ面白い事ばかり……
先生には大分久しく御目にかかりません	そうさ、たしかこの春の朗読会ぎりだったね。朗読会と云えば近頃はやはり御盛かね。その後御宮にゃなりませんか。あれは旨かったよ。僕は大に拍手したぜ、君気が付いてたかい
ええ御蔭で大きに勇気が出まして、とうとうしまいまで漕ぎつけました	今度はいつ御催しがありますか
七八両月は休んで九月には何か賑やかにやりたいと思っております。何か面白い趣向はございますまいか	さよう
東風君僕の創作を一つやらないか	君の創作なら面白いものだろうが、一体何かね
なに喜劇でも悲劇でもないさ。近頃は旧劇とか新劇とか大部やかましいから、僕も一つ新機軸を出して俳劇と云うのを作って見たのさ	俳劇たどんなものだい
それでその趣向と云うのは？	根が俳句趣味からくるのだから、あまり長たらしくって、毒悪なのはよくないと思って一幕物にしておいた
なるほど	まず道具立てから話すが、これも極簡単なのがいい。舞台の真中へ大きな柳を一本植え付けてね。それからその柳の幹から一本の枝を右の方へヌッと出させて、その枝へ烏を一羽とまらせる
烏がじっとしていればいいが	何わけは有りません、烏の足を糸で枝へ縛り付けておくんです。でその下へ行水盥を出しましてね。美人が横向きになって手拭を使っているんです
そいつは少しデカダンだね。第一誰がその女になるんだい	何これもすぐ出来ます。美術学校のモデルを雇ってくるんです
そりゃ警視庁がやかましく云いそうだな	だって興行さえしなければ構わんじゃありませんか。そんな事をとやかく云った日にゃ学校で裸体画の写生なんざ出来っこありません
しかしあれは稽古のためだから、ただ見ているのとは少し違うよ	先生方がそんな事を云った日には日本もまだ駄目です。絵画だって、演劇だって、おんなじ芸術です
ところへ花道から俳人高浜虚子がステッキを持って、白い灯心入りの帽子を被って、透綾の羽織に、薩摩飛白の尻端折りの半靴と云うこしらえで出てくる。着付けは陸軍の御用達見たようだけれども俳人だからなるべく悠々として腹の中では句案に余念のない体であるかなくっちゃいけない。それで虚子が花道を行き切っていよいよ本舞台に懸った時、ふと句案の眼をあげて前面を見ると、大きな柳があって、柳の影で白い女が湯を浴びている、はっと思って上を見ると長い柳の枝に烏が一羽とまって女の行水を見下ろしている。そこで虚子先生大に俳味に感動したと云う思い入れが五十秒ばかりあって、行水の女に惚れる烏かなと大きな声で一句朗吟するのを合図に、拍子木を入れて幕を引く。――どうだろう、こう云う趣向は。御気に入りませんかね。君御宮になるより虚子になる方がよほどいいぜ	あんまり、あっけないようだ。もう少し人情を加味した事件が欲しいようだ
たったそれだけで俳劇はすさまじいね。上田敏君の説によると俳味とか滑稽とか云うものは消極的で亡国の音だそうだが、敏君だけあってうまい事を云ったよ。そんなつまらない物をやって見給え。それこそ上田君から笑われるばかりだ。第一劇だか茶番だか何だかあまり消極的で分らないじゃないか。失礼だが寒月君はやはり実験室で珠を磨いてる方がいい。俳劇なんぞ百作ったって二百作ったって、亡国の音じゃ駄目だ	そんなに消極的でしょうか。私はなかなか積極的なつもりなんですが
虚子がですね。虚子先生が女に惚れる烏かなと烏を捕えて女に惚れさしたところが大に積極的だろうと思います	こりゃ新説だね。是非御講釈を伺がいましょう
理学士として考えて見ると烏が女に惚れるなどと云うのは不合理でしょう	ごもっとも
その不合理な事を無雑作に言い放って少しも無理に聞えません	そうかしら
なぜ無理に聞えないかと云うと、これは心理的に説明するとよく分ります。実を云うと惚れるとか惚れないとか云うのは俳人その人に存する感情で烏とは没交渉の沙汰であります。しかるところあの烏は惚れてるなと感じるのは、つまり烏がどうのこうのと云う訳じゃない、必竟自分が惚れているんでさあ。虚子自身が美しい女の行水しているところを見てはっと思う途端にずっと惚れ込んだに相違ないです。さあ自分が惚れた眼で烏が枝の上で動きもしないで下を見つめているのを見たものだから、ははあ、あいつも俺と同じく参ってるなと癇違いをしたのです。癇違いには相違ないですがそこが文学的でかつ積極的なところなんです。自分だけ感じた事を、断りもなく烏の上に拡張して知らん顔をしてすましているところなんぞは、よほど積極主義じゃありませんか。どうです先生	なるほど御名論だね、虚子に聞かしたら驚くに違いない。説明だけは積極だが、実際あの劇をやられた日には、見物人はたしかに消極になるよ。ねえ東風君
どうです、東風さん、近頃は傑作もありませんか	いえ、別段これと云って御目にかけるほどのものも出来ませんが、近日詩集を出して見ようと思いまして――稿本を幸い持って参りましたから御批評を願いましょう
何だい新体詩かね	やあ、捧げたね。東風君、思い切って富子嬢に捧げたのはえらい
東風さん、この富子と云うのは本当に存在している婦人なのですか	へえ、この前迷亭先生とごいっしょに朗読会へ招待した婦人の一人です。ついこの御近所に住んでおります。実はただ今詩集を見せようと思ってちょっと寄って参りましたが、生憎先月から大磯へ避暑に行って留守でした
苦沙弥君、これが二十世紀なんだよ。そんな顔をしないで、早く傑作でも朗読するさ。しかし東風君この捧げ方は少しまずかったね。このあえかにと云う雅言は全体何と言う意味だと思ってるかね	蚊弱いとかたよわくと云う字だと思います
なるほどそうも取れん事はないが本来の字義を云うと危う気にと云う事だぜ。だから僕ならこうは書かないね	どう書いたらもっと詩的になりましょう
僕ならこうさ。世の人に似ずあえかに見え給う富子嬢の鼻の下に捧ぐとするね。わずかに三字のゆきさつだが鼻の下があるのとないのとでは大変感じに相違があるよ	なるほど
これは少々僕には解しかねる	これは少々振い過ぎてる
なああるほど	先生御分りにならんのはごもっともで、十年前の詩界と今日の詩界とは見違えるほど発達しておりますから。この頃の詩は寝転んで読んだり、停車場で読んではとうてい分りようがないので、作った本人ですら質問を受けると返答に窮する事がよくあります。全くインスピレーションで書くので詩人はその他には何等の責任もないのです。註釈や訓義は学究のやる事で私共の方では頓と構いません。せんだっても私の友人で送籍と云う男が一夜という短篇をかきましたが、誰が読んでも朦朧として取り留めがつかないので、当人に逢って篤と主意のあるところを糺して見たのですが、当人もそんな事は知らないよと云って取り合わないのです。全くその辺が詩人の特色かと思います
詩人かも知れないが随分妙な男ですね	馬鹿だよ
送籍は吾々仲間のうちでも取除けですが、私の詩もどうか心持ちその気で読んでいただきたいので。ことに御注意を願いたいのはからきこの世と、あまき口づけと対をとったところが私の苦心です	よほど苦心をなすった痕迹が見えます
東風君の御作も拝見したから、今度は僕が短文を読んで諸君の御批評を願おう	天然居士の墓碑銘ならもう二三遍拝聴したよ
まあ、だまっていなさい。東風さん、これは決して得意のものではありませんが、ほんの座興ですから聴いて下さい	是非伺がいましょう
寒月君もついでに聞き給え	ついででなくても聴きますよ。長い物じゃないでしょう
大和魂！　と叫んで日本人が肺病やみのような咳をした	起し得て突兀ですね
大和魂！　と新聞屋が云う。大和魂！　と掏摸が云う。大和魂が一躍して海を渡った。英国で大和魂の演説をする。独逸で大和魂の芝居をする	なるほどこりゃ天然居士以上の作だ
東郷大将が大和魂を有っている。肴屋の銀さんも大和魂を有っている。詐偽師、山師、人殺しも大和魂を有っている	先生そこへ寒月も有っているとつけて下さい
大和魂はどんなものかと聞いたら、大和魂さと答えて行き過ぎた。五六間行ってからエヘンと云う声が聞こえた	その一句は大出来だ。君はなかなか文才があるね。それから次の句は
三角なものが大和魂か、四角なものが大和魂か。大和魂は名前の示すごとく魂である。魂であるから常にふらふらしている	先生だいぶ面白うございますが、ちと大和魂が多過ぎはしませんか
賛成	誰も口にせぬ者はないが、誰も見たものはない。誰も聞いた事はあるが、誰も遇った者がない。大和魂はそれ天狗の類か
それぎりですか	うん
君も短篇を集めて一巻として、そうして誰かに捧げてはどうだ	君に捧げてやろうか
君はあの金田の令嬢を知ってるのかい	この春朗読会へ招待してから、懇意になってそれからは始終交際をしている。僕はあの令嬢の前へ出ると、何となく一種の感に打たれて、当分のうちは詩を作っても歌を詠んでも愉快に興が乗って出て来る。この集中にも恋の詩が多いのは全くああ云う異性の朋友からインスピレーションを受けるからだろうと思う。それで僕はあの令嬢に対しては切実に感謝の意を表しなければならんからこの機を利用して、わが集を捧げる事にしたのさ。昔しから婦人に親友のないもので立派な詩をかいたものはないそうだ
金さん、どうも、ここが痛んでいけねえが何だろう	そりゃ胃さ、胃て云う奴は命をとるからね。用心しねえとあぶないよ
だってこの左の方だぜ	そこが胃だあな。左が胃で、右が肺だよ
いやこう年をとっては駄目さね。人間もやきが廻っちゃ若い者には叶わないよ。しかし湯だけは今でも熱いのでないと心持が悪くてね	旦那なんか丈夫なものですぜ。そのくらい元気がありゃ結構だ
元気もないのさ。ただ病気をしないだけさ。人間は悪い事さえしなけりゃあ百二十までは生きるもんだからね	へえ、そんなに生きるもんですか
生きるとも百二十までは受け合う。御維新前牛込に曲淵と云う旗本があって、そこにいた下男は百三十だったよ	そいつは、よく生きたもんですね
やあ親方	やあ
民さんはどうしたね	どうしたか、じゃんじゃんが好きだからね
じゃんじゃんばかりじゃねえ……	そうかい、あの男も腹のよくねえ男だからね。――どう云うもんか人に好かれねえ、――どう云うものだか、――どうも人が信用しねえ。職人てえものは、あんなもんじゃねえが
そうよ。民さんなんざあ腰が低いんじゃねえ、頭が高けえんだ。それだからどうも信用されねえんだね	本当によ。あれで一っぱし腕があるつもりだから、――つまり自分の損だあな
白銀町にも古い人が亡くなってね、今じゃ桶屋の元さんと煉瓦屋の大将と親方ぐれえな者だあな。こちとらあこうしてここで生れたもんだが、民さんなんざあ、どこから来たんだか分りゃしねえ	そうよ。しかしよくあれだけになったよ
これはちと利き過ぎるようだ、どうも背中の方から熱い奴がじりじり湧いてくる	なあにこれがちょうどいい加減です。薬湯はこのくらいでないと利きません。わたしの国なぞではこの倍も熱い湯へ這入ります
へい、どなた様も、毎日相変らずありがとう存じます。今日は少々御寒うございますから、どうぞ御緩くり――どうぞ白い湯へ出たり這入ったりして、ゆるりと御あったまり下さい。――番頭さんや、どうか湯加減をよく見て上げてな	おーい
おい、その猫の頭をちょっと撲って見ろ	撲てば、どうするんですか
鳴かんじゃないか	ええ
もう一返やって見ろ	何返やったって同じ事じゃありませんか
おい、ちょっと鳴くようにぶって見ろ	鳴かして何になさるんですか
おい	はい
そのはいは感投詞か副詞か、どっちだ	どっちですか、そんな馬鹿気た事はどうでもいいじゃありませんか
いいものか、これが現に国語家の頭脳を支配している大問題だ	あらまあ、猫の鳴き声がですか、いやな事ねえ。だって、猫の鳴き声は日本語じゃあないじゃありませんか
それだからさ。それがむずかしい問題なんだよ。比較研究と云うんだ	そう
それで、どっちだか分ったんですか	重要な問題だからそう急には分らんさ
これは豚だな	ええ豚でござんす
ふん	酒をもう一杯飲もう
今夜はなかなかあがるのね。もう大分赤くなっていらっしゃいますよ	飲むとも――御前世界で一番長い字を知ってるか
ええ、前の関白太政大臣でしょう	それは名前だ。長い字を知ってるか
字って横文字ですか	うん
知らないわ、――御酒はもういいでしょう、これで御飯になさいな、ねえ	いや、まだ飲む。一番長い字を教えてやろうか
ええ。そうしたら御飯ですよ	Archaiomelesidonophrunicherata と云う字だ
出鱈目でしょう	出鱈目なものか、希臘語だ
何という字なの、日本語にすれば	意味はしらん。ただ綴りだけ知ってるんだ。長く書くと六寸三分くらいにかける
もう一杯	もう御よしになったら、いいでしょう。苦しいばかりですわ
なに苦しくってもこれから少し稽古するんだ。大町桂月が飲めと云った	桂月って何です
桂月は現今一流の批評家だ。それが飲めと云うのだからいいに極っているさ	馬鹿をおっしゃい。桂月だって、梅月だって、苦しい思をして酒を飲めなんて、余計な事ですわ
酒ばかりじゃない。交際をして、道楽をして、旅行をしろといった	なおわるいじゃありませんか。そんな人が第一流の批評家なの。まああきれた。妻子のあるものに道楽をすすめるなんて……
道楽もいいさ。桂月が勧めなくっても金さえあればやるかも知れない	なくって仕合せだわ。今から道楽なんぞ始められちゃあ大変ですよ
大変だと云うならよしてやるから、その代りもう少し夫を大事にして、そうして晩に、もっと御馳走を食わせろ	これが精一杯のところですよ
おめえ、知らねえ	ここは学校の植物園かと思いました
あれは本校の生徒です	生徒たるべきものが、何で他の邸内へ侵入するのですか
いやボールがつい飛んだものですから	なぜ断って、取りに来ないのですか
これから善く注意します	そんなら、よろしい
降参しねえか	しねえしねえ
駄目だ駄目だ	出てこねえ
落ちねえかな	落ちねえはずはねえ
吠えて見ろ	わんわん
わんわん	わんわんわんわん
ここか	もっと左の方か
いえ泥棒ではありません。落雲館の生徒です	うそをつけ。落雲館の生徒が無断で人の庭宅に侵入する奴があるか
しかしこの通りちゃんと学校の徽章のついている帽子を被っています	にせものだろう。落雲館の生徒ならなぜむやみに侵入した
ボールが飛び込んだものですから	なぜボールを飛び込ました
つい飛び込んだんです	怪しからん奴だ
以後注意しますから、今度だけ許して下さい	どこの何者かわからん奴が垣を越えて邸内に闖入するのを、そう容易く許されると思うか
それでも落雲館の生徒に違ないんですから	落雲館の生徒なら何年生だ
三年生です	きっとそうか
落雲館へ行って誰か連れてこい	誰を連れて参ります
誰でもいいから連れてこい	へえ
誰でも構わんから呼んで来いと云うのに、わからんか。校長でも幹事でも教頭でも……	あの校長さんを……
校長でも、幹事でも教頭でもと云っているのにわからんか	誰もおりませんでしたら小使でもよろしゅうございますか
ただ今邸内にこの者共が乱入致して……	本当に御校の生徒でしょうか
丸が這入るのも仕方がないでしょう。こうして学校の隣りに住んでいる以上は、時々はボールも飛んで来ましょう。しかし……あまり乱暴ですからな。仮令垣を乗り越えるにしても知れないように、そっと拾って行くなら、まだ勘弁のしようもありますが……	ごもっともで、よく注意は致しますが何分多人数の事で……よくこれから注意をせんといかんぜ。もしボールが飛んだら表から廻って、御断りをして取らなければいかん。いいか。――広い学校の事ですからどうも世話ばかりやけて仕方がないです。で運動は教育上必要なものでありますから、どうもこれを禁ずる訳には参りかねるので。これを許すとつい御迷惑になるような事が出来ますが、これは是非御容赦を願いたいと思います。その代り向後はきっと表門から廻って御断りを致した上で取らせますから
うむ、そうかえ。実はこないだから、君にちょっと逢いたいと思っていたがね。それはよかった	へえ、それは好都合でございました。何かご用で
いや何、大した事でもないのさ。どうでもいいんだが、君でないと出来ない事なんだ	私に出来る事なら何でもやりましょう。どんな事で
ええ、そう……	何なら、御都合のとき出直して伺いましょう。いつが宜しゅう、ございますか
なあに、そんな大した事じゃ無いのさ。――それじゃせっかくだから頼もうか	どうか御遠慮なく……
あの変人ね。そら君の旧友さ。苦沙弥とか何とか云うじゃないか	ええ苦沙弥がどうかしましたか
いえ、どうもせんがね。あの事件以来胸糞がわるくってね	ごもっともで、全く苦沙弥は剛慢ですから……少しは自分の社会上の地位を考えているといいのですけれども、まるで一人天下ですから
